trade_code,name
6,西部利得量化成长混合
17,财通可持续混合
20,景顺长城品质投资混合
21,华夏优势增长混合
28,华富保本混合
30,长城久利保本混合
31,华夏复兴混合
39,农银高增长混合
42,中证财通可持续发展100指数A
43,嘉实美国成长股票
44,嘉实美国成长股票现汇
49,中银标普全球资源等权重指数
56,建信消费升级混合
57,中银消费主题混合
58,国联安保本混合
61,华夏盛世混合
63,长盛电子信息主题灵活配置混合
65,国富焦点驱动混合
66,诺安鸿鑫保本混合
72,华安保本混合
82,嘉实研究阿尔法股票
83,汇添富消费行业混合
110,金鹰元安混合A
117,广发轮动配置混合
120,中银美丽中国混合
121,华夏永福混合A
124,华宝服务优选混合
126,招商安润保本混合
127,农银行业领先混合
136,民生加银策略精选混合
142,融通通泰保本混合A
165,国投瑞银策略精选混合
166,中海策略精选灵活配置混合
167,广发聚优灵活配置混合A
172,华泰柏瑞量化增强混合A
173,汇添富美丽30混合
176,嘉实沪深300指数研究增强
179,广发美国房地产指数
180,广发美国房地产指数现汇
190,中银新回报灵活配置混合
195,工银保本3号混合A
196,工银保本3号混合B
199,国泰量化策略收益混合
209,信诚新兴产业混合
214,广发成长优选混合
220,富国医疗保健行业混合
241,宝盈核心优势混合C
242,景顺长城策略精选灵活配置混合
251,工银金融地产混合
256,上投摩根红利回报混合A
259,农银区间收益混合
263,工银信息产业混合
264,博时内需增长混合
270,建信安心保本混合
273,华润元大安鑫灵活配置混合
279,华商红利优选混合
294,华安生态优先混合
308,建信创新中国混合
309,大摩品质生活精选股票
314,招商瑞丰灵活配置混合发起式
326,南方中小盘成长股票
327,南方新蓝筹混合
339,长城医疗保健混合
354,长盛城镇化主题混合
367,国泰安康定期支付混合A
368,汇添富沪深300安中指数
398,华富灵活配置混合
408,民生加银城镇化混合
409,鹏华环保产业股票
410,益民服务领先混合
414,嘉实绝对收益策略定期混合
417,国联安新精选混合
423,前海开源事件驱动混合A
431,鹏华品牌传承混合
432,中银优秀企业混合
433,安信鑫发优选混合
436,易方达裕惠定开混合发起式
452,南方医药保健灵活配置混合
462,农银主题轮动混合
471,富国城镇发展股票
477,广发主题领先混合
