trade_code,name
42,中证财通可持续发展100指数A
43,嘉实美国成长股票
44,嘉实美国成长股票现汇
49,中银标普全球资源等权重指数
82,嘉实研究阿尔法股票
176,嘉实沪深300指数研究增强
179,广发美国房地产指数
180,广发美国房地产指数现汇
309,大摩品质生活精选股票
326,南方中小盘成长股票
368,汇添富沪深300安中指数
409,鹏华环保产业股票
471,富国城镇发展股票
478,建信中证500指数增强A
513,富国高端制造行业股票
549,华安大国新经济股票
577,安信价值精选股票
586,景顺中小板创业板精选股票
592,建信改革红利股票
593,易方达标普消费品指数美元现汇A
594,大摩进取优选股票
596,前海开源中证军工指数A
628,大成高新技术产业股票
656,前海开源沪深300指数
688,景顺长城研究精选股票
696,汇添富环保行业股票
697,汇添富移动互联股票
711,嘉实医疗保健股票
729,建信中小盘先锋股票
746,招商行业精选股票基金
751,嘉实新兴产业股票
756,建信潜力新蓝筹股票
761,国富健康优质生活股票
778,鹏华先进制造股票
780,鹏华医疗保健股票
793,工银高端制造股票
803,工银研究精选股票
826,广发百发100指数A
827,广发百发100指数E
831,工银医疗保健股票
834,大成纳斯达克100指数
835,华润元大富时中国A50指数
866,华宝制造股票
867,华宝品质生活股票
885,广发全球农业指数美元现汇
893,工银创新动力股票
906,广发全球精选股票美元现汇
913,农银医疗保健股票
916,前海开源股息率100强股票
925,汇添富外延增长主题股票
960,招商医药健康产业股票
961,天弘沪深300指数A
962,天弘中证500指数A
968,广发养老指数A
971,诺安新经济股票
974,安信消费医药股票
978,景顺长城量化精选股票
979,景顺长城沪港深精选股票
985,嘉实逆向策略股票
988,嘉实全球互联网股票人民币
989,嘉实全球互联网股票美元现汇
990,嘉实全球互联网股票美元现钞
991,工银战略转型股票
996,中银新动力股票
1008,工银国企改革股票
1009,上投摩根安全战略股票
1015,华夏沪深300指数增强A
1016,华夏沪深300指数增强C
1021,华夏亚债中国指数A
1023,华夏亚债中国指数C
1027,前海开源中证大农业指数增强
1028,华安物联网主题股票
1036,嘉实企业变革股票
1039,嘉实先进制造股票
1040,新华策略精选股票
1042,华夏领先股票
1043,工银美丽城镇股票
1044,嘉实新消费股票
1047,光大国企改革股票
1048,富国新兴产业股票
1054,工银新金融股票
1070,建信信息产业股票
1072,华安智能装备主题股票
1092,广发生物科技指数(QDII
1093,广发生物科技指数美元
1097,华泰柏瑞积极优选股票
1104,华安新丝路主题股票
1105,信达澳银转型创新股票
1126,上投摩根卓越制造股票
1149,汇丰晋信恒生龙头指数C
1158,工银新材料新能源股票
1162,前海开源优势蓝筹股票A
1163,银华中国梦30股票
1166,建信环保产业股票
1167,金鹰科技创新股票
1171,工银养老产业股票
1178,前海开源再融资股票
1186,富国文体健康股票
1188,鹏华改革红利股票
1195,工银农业产业股票
1208,诺安低碳经济股票
1223,鹏华文化传媒娱乐股票
1236,博时丝路主题股票A
1245,工银生态环境股票
1277,博时国企改革股票
1291,大摩量化多策略股票
1313,上投摩根智慧互联股票
1319,农银信息传媒股票
1351,诺安中证500指数增强
